name,company,year,Price,kms_driven,fuel_type
Volkswagen Tiguan VXI,Volkswagen,2012,39415,122171,Petrol
Toyota Glanza VXI,Toyota,2012,41116,135271,Diesel
Nissan Micra VXI,Nissan,2019,140311,45550,Diesel
Fiat Linea VXI,Fiat,2014,44503,144240,Petrol
Ford EcoSport VXI,Ford,2011,38131,148107,Diesel
Fiat Linea ZXI,Fiat,2021,168663,50091,Petrol
Volkswagen Ameo LXI,Volkswagen,2008,39629,201876,Diesel
MG Astor VXI,MG,2015,109896,109357,Diesel
Force Gurkha VXI,Force,2013,42101,126566,LPG
Maruti Ertiga VXI,Maruti,2023,204330,34665,Petrol
Skoda Octavia VXI,Skoda,2018,249710,67504,Diesel
Hindustan Ambassador VXI,Hindustan,2009,37619,187639,Petrol
Hyundai i20 VXI,Hyundai,2014,32397,143473,LPG
Maruti Alto VXI,Maruti,2008,43098,199371,Diesel
Ford Aspire LXI,Ford,2019,166165,56246,Diesel
Renault Triber VXI,Renault,2012,47366,152459,LPG
Land Defender ZXI,Land,2014,38625,133344,Petrol
Volkswagen Polo LXI,Volkswagen,2012,41086,123597,Diesel
Mahindra Thar LXI,Mahindra,2018,157654,88000,Diesel
Nissan Terrano VXI,Nissan,2013,31980,139662,Petrol
Skoda Superb ZXI,Skoda,2017,249211,83996,Diesel
MG ZS EV VXI,MG,2023,431391,13673,Diesel
Hyundai Creta VXI,Hyundai,2018,97419,83022,Petrol
Ford Endeavour VXI,Ford,2015,43093,90166,LPG
Chevrolet Cruze ZXI,Chevrolet,2011,34474,158927,Diesel
Mahindra KUV100 ZXI,Mahindra,2021,257076,37961,Diesel
Tata Tigor LXI,Tata,2010,40693,166503,Petrol
Force Gurkha VXI,Force,2023,324373,5000,Diesel
Hindustan Ambassador VXI,Hindustan,2018,77522,74717,LPG
Nissan Terrano ZXI,Nissan,2012,35658,153429,Petrol
MG Hector VXI,MG,2015,56358,110342,Petrol
Mahindra Scorpio VXI,Mahindra,2018,189051,36875,Petrol
Renault Duster VXI,Renault,2015,66755,114971,Diesel
Fiat Linea LXI,Fiat,2015,83138,85208,Diesel
Maruti Wagon R LXI,Maruti,2009,38721,147493,LPG
Mahindra KUV100 ZXI,Mahindra,2011,45682,139519,Diesel
Tata Harrier ZXI,Tata,2011,42072,124169,Petrol
Chevrolet Beat LXI,Chevrolet,2014,49285,116859,Diesel
Chevrolet Beat VXI,Chevrolet,2009,37989,192970,Petrol
Hindustan Ambassador VXI,Hindustan,2017,96558,76395,Diesel
Ford Aspire LXI,Ford,2011,44047,137775,Diesel
Tata Nexon LXI,Tata,2019,187376,54386,Diesel
Chevrolet Cruze LXI,Chevrolet,2009,35821,190820,Petrol
Hyundai Grand i10 VXI,Hyundai,2012,38134,140184,Diesel
MG ZS EV LXI,MG,2012,34370,158171,Petrol
Tata Tiago LXI,Tata,2018,120458,75700,Diesel
Force Gurkha ZXI,Force,2021,200172,45708,Petrol
Maruti Alto VXI,Maruti,2009,38934,179268,Petrol
Fiat Linea VXI,Fiat,2015,53337,121777,Diesel
Skoda Octavia ZXI,Skoda,2017,202915,94346,Diesel
Toyota Corolla Altis VXI,Toyota,2013,37558,143608,LPG
Hindustan Ambassador VXI,Hindustan,2009,41606,179918,Diesel
Hindustan Ambassador VXI,Hindustan,2020,169672,37496,Diesel
Hindustan Ambassador ZXI,Hindustan,2022,210778,8140,Diesel
Ford EcoSport LXI,Ford,2021,257563,37354,Diesel
Nissan Micra ZXI,Nissan,2018,104866,73178,LPG
Datsun GO+ ZXI,Datsun,2008,38702,151017,Diesel
Datsun GO VXI,Datsun,2015,62997,109370,Diesel
Fiat Punto VXI,Fiat,2017,82671,92575,Petrol
Force Gurkha VXI,Force,2014,39294,127193,Petrol
Renault Kwid ZXI,Renault,2010,42049,173110,Diesel
MG Hector LXI,MG,2020,301994,44418,Petrol
Hindustan Ambassador ZXI,Hindustan,2018,62608,73799,LPG
Mercedes GLC ZXI,Mercedes,2021,635204,28861,Petrol
Maruti Ignis ZXI,Maruti,2019,132547,67315,LPG
MG Hector LXI,MG,2010,40440,133847,Diesel
Hindustan Ambassador ZXI,Hindustan,2019,104323,56453,Petrol
Tata Safari LXI,Tata,2021,249560,18659,Diesel
Chevrolet Spark ZXI,Chevrolet,2019,112942,86830,Petrol
Chevrolet Spark LXI,Chevrolet,2020,173371,47451,Petrol
BMW 3 Series VXI,BMW,2022,539928,12946,Petrol
Ford Endeavour VXI,Ford,2018,166827,71770,Diesel
Renault Triber LXI,Renault,2008,42975,207126,Diesel
Fiat Linea VXI,Fiat,2022,201478,23463,Petrol
Fiat Punto LXI,Fiat,2018,101687,58236,Petrol
MG Hector VXI,MG,2014,78186,112751,Diesel
MG Hector VXI,MG,2009,47750,178100,Diesel
Mahindra KUV100 LXI,Mahindra,2013,42013,123316,Diesel
Jaguar XE LXI,Jaguar,2012,48926,140229,Petrol
Honda Accord VXI,Honda,2016,142084,111462,Diesel
Nissan Terrano LXI,Nissan,2020,173262,68678,Diesel
Nissan Terrano VXI,Nissan,2008,41490,169623,Petrol
Jaguar XE VXI,Jaguar,2015,149758,93898,LPG
Ford Endeavour LXI,Ford,2021,188069,50099,Petrol
Hindustan Ambassador VXI,Hindustan,2019,118808,43275,Petrol
Tata Tigor VXI,Tata,2019,169373,58765,Diesel
Chevrolet Spark VXI,Chevrolet,2008,44625,210592,Diesel
Fiat Linea ZXI,Fiat,2015,42198,108382,Petrol
Skoda Rapid LXI,Skoda,2021,342471,38142,LPG
Hindustan Ambassador VXI,Hindustan,2022,185833,43396,Diesel
Force Gurkha VXI,Force,2018,174877,57067,Diesel
Fiat Punto ZXI,Fiat,2017,64853,81912,Petrol
Renault Kwid VXI,Renault,2023,255671,10937,Diesel
Fiat Linea ZXI,Fiat,2009,39395,159805,Diesel
Skoda Rapid VXI,Skoda,2014,65960,125082,Diesel
Ford Aspire ZXI,Ford,2008,38198,181515,Petrol
Hyundai Venue VXI,Hyundai,2015,98172,84601,Diesel
Toyota Corolla Altis LXI,Toyota,2009,38873,178488,Petrol
Fiat Linea LXI,Fiat,2020,172737,66871,Diesel
Mahindra Thar VXI,Mahindra,2011,42529,177743,Diesel
Chevrolet Beat VXI,Chevrolet,2013,44407,149050,Petrol
Fiat Linea ZXI,Fiat,2019,173491,57858,Diesel
Fiat Punto VXI,Fiat,2013,30315,112489,Petrol
Tata Tigor VXI,Tata,2012,45524,177395,Petrol
Hindustan Ambassador VXI,Hindustan,2011,39044,176685,Diesel
Maruti Alto ZXI,Maruti,2009,37138,171654,Petrol
Datsun Redi-GO LXI,Datsun,2012,41023,148541,LPG
Nissan Kicks LXI,Nissan,2022,249284,20315,Petrol
Tata Altroz VXI,Tata,2014,40762,124406,Petrol
Mahindra XUV500 LXI,Mahindra,2011,42681,182303,Petrol
Datsun GO VXI,Datsun,2020,120460,62962,Petrol
Renault Duster ZXI,Renault,2014,41453,129840,Petrol
Honda City VXI,Honda,2014,65890,87990,Petrol
Maruti Swift VXI,Maruti,2016,56790,87206,LPG
Chevrolet Spark VXI,Chevrolet,2023,229454,5000,Petrol
Chevrolet Beat ZXI,Chevrolet,2015,49212,127640,Diesel
Renault Duster LXI,Renault,2016,68320,94543,Petrol
Mahindra XUV500 VXI,Mahindra,2009,39691,174407,Diesel
Hindustan Ambassador VXI,Hindustan,2014,41004,112419,Diesel
Tata Safari ZXI,Tata,2018,145270,91631,Diesel
Force Gurkha LXI,Force,2013,59930,103696,Diesel
Hindustan Ambassador LXI,Hindustan,2019,126256,71466,Diesel
Renault Triber ZXI,Renault,2018,158169,83463,Diesel
Ford Endeavour LXI,Ford,2009,43641,192127,Diesel
Toyota Corolla Altis VXI,Toyota,2018,266974,69441,Diesel
Fiat Linea ZXI,Fiat,2020,228756,37929,Diesel
Mahindra Scorpio VXI,Mahindra,2008,31401,187463,Petrol
Renault Kwid VXI,Renault,2019,170141,60788,Diesel
Chevrolet Spark ZXI,Chevrolet,2008,42788,174794,Petrol
Chevrolet Spark VXI,Chevrolet,2012,34186,113713,Diesel
MG Astor VXI,MG,2012,41640,131048,Diesel
Hindustan Ambassador VXI,Hindustan,2013,44005,127707,Diesel
Maruti Celerio ZXI,Maruti,2023,238005,13845,LPG
Force Gurkha ZXI,Force,2016,76376,95073,Petrol
Mahindra XUV500 ZXI,Mahindra,2014,44233,91924,Petrol
Kia Carnival ZXI,Kia,2017,221170,75434,Diesel
Skoda Kushaq VXI,Skoda,2014,99268,110292,Diesel
Force Gurkha ZXI,Force,2018,114064,70768,Petrol
Chevrolet Cruze VXI,Chevrolet,2019,150061,43323,Petrol
Hyundai Venue VXI,Hyundai,2018,116418,97577,Petrol
Volkswagen Tiguan VXI,Volkswagen,2009,42176,206734,Diesel
Hindustan Ambassador ZXI,Hindustan,2018,85916,72122,Petrol
Maruti Alto VXI,Maruti,2020,155963,40029,LPG
Chevrolet Beat VXI,Chevrolet,2014,46554,131077,Petrol
Maruti Wagon R ZXI,Maruti,2014,42226,101420,Petrol
Land Defender ZXI,Land,2009,43734,182788,Petrol
Ford EcoSport ZXI,Ford,2017,85847,81299,Petrol
MG Hector LXI,MG,2019,311473,56140,Diesel
MG Astor ZXI,MG,2012,34363,133477,Petrol
Tata Altroz VXI,Tata,2010,42885,168888,Diesel
Honda City LXI,Honda,2015,56298,113719,Petrol
Honda Accord VXI,Honda,2019,229365,70055,Petrol
Jeep Compass LXI,Jeep,2023,465478,43452,LPG
Nissan Micra VXI,Nissan,2018,135880,35389,Petrol
Kia Sonet VXI,Kia,2012,39650,149109,Diesel
Datsun GO+ LXI,Datsun,2013,45174,144657,Diesel
Renault Duster ZXI,Renault,2014,37895,101926,Petrol
Force Gurkha VXI,Force,2010,42398,164514,Diesel
Renault Kwid LXI,Renault,2014,38965,131307,Petrol
Hyundai Venue LXI,Hyundai,2020,220126,47224,Diesel
Nissan Terrano LXI,Nissan,2021,206159,33317,Diesel
Hyundai i20 VXI,Hyundai,2017,107439,91457,Petrol
Maruti Swift VXI,Maruti,2023,299573,31476,Diesel
Hindustan Ambassador VXI,Hindustan,2009,37679,184318,Diesel
Maruti Celerio ZXI,Maruti,2010,43300,178212,LPG
MG Hector VXI,MG,2019,256516,68868,Diesel
Mercedes E-Class VXI,Mercedes,2009,40588,185257,Diesel
Mahindra Thar LXI,Mahindra,2008,37880,180357,Petrol
Skoda Rapid VXI,Skoda,2008,44557,209349,Diesel
Volkswagen Polo VXI,Volkswagen,2013,38250,105275,Petrol
Maruti Ignis VXI,Maruti,2020,234945,41957,Diesel
